PMID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118
28103924,"('D63.1', 0.5)","('I05-I09', 0.4)","('O10.21', 0.2857142857142857)","('E10.22', 0.25)","('H66.2', 0.6666666666666666)","('J98.9', 0.5)","('D59.1', 0.5)","('N71.1', 0.5)","('E11.22', 0.25)","('Z82.5', 0.2857142857142857)","('P27', 0.3333333333333333)","('E13.22', 0.25)","('E09.22', 0.2222222222222222)","('D71', 0.5)","('E08.22', 0.2222222222222222)","('N17-N19', 0.3333333333333333)","('I27.9', 0.6666666666666666)","('D89.811', 0.6666666666666666)","('J40-J47', 0.4)","('N18.9', 0.6666666666666666)","('N03', 0.6666666666666666)","('I12', 0.5)","('I13', 0.4)","('K71.5', 0.3333333333333333)","('L12.2', 0.5)","('J35', 0.5)","('B57.2', 0.5)","('I25', 0.5)","('J44', 0.4)",E75.22,"('D47.1', 0.6666666666666666)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28100279,J12.9,"('B34.0', 0.6666666666666666)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28100235,"('J90', 0.3333333333333333)","('R84', 0.25)",C22.0,"('J92', 0.5)","('M32.13', 0.16666666666666666)","('J94', 0.3333333333333333)","('J91.0', 0.3333333333333333)","('J86.0', 0.5)",C22.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28090049,"('E05.31', 0.2857142857142857)",J11.1,E05.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28057913,"('N85.0', 0.5)",C55,E83.52,"('R87.619', 0.2)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28033278,N17.9,N28.9,M34.9,N17,I67.83,M34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27998312,R11.1,"('O26.61', 0.2)","('T86.4', 0.3333333333333333)","('E08.21', 0.2857142857142857)","('K76.3', 0.5)",E11,"('B66.1', 0.25)","('E10.21', 0.3333333333333333)","('K71', 0.3333333333333333)","('C78.7', 0.14285714285714285)","('Z94.4', 0.3333333333333333)","('K74', 0.3333333333333333)","('D68.4', 0.16666666666666666)","('K70-K77', 0.3333333333333333)","('D01.5', 0.16666666666666666)","('C22.3', 0.5)","('P78.81', 0.3333333333333333)","('Z85.05', 0.2)","('E11.21', 0.3333333333333333)","('Z48.23', 0.2)",R11.10,"('A52.74', 0.3333333333333333)","('E13.21', 0.3333333333333333)","('T45.8', 0.125)","('Z52.6', 0.5)","('R93.2', 0.14285714285714285)","('O14.2', 0.1)","('E09.21', 0.2857142857142857)","('E83.110', 0.3333333333333333)","('K75.0', 0.5)","('B67.8', 0.3333333333333333)","('E74.09', 0.3333333333333333)",R10.9,"('K72', 0.25)","('R94.5', 0.2)","('D37.6', 0.14285714285714285)","('S36.11', 0.5)","('I85.1', 0.2)","('C7B.02', 0.25)","('A06.4', 0.3333333333333333)","('K70.0', 0.6666666666666666)","('P15.0', 0.3333333333333333)","('D13.4', 0.3333333333333333)","('Q44.7', 0.5)","('K77', 0.2)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27980272,K90.0,R19.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27980261,"('I74', 0.3333333333333333)","('N28.0', 0.3333333333333333)","('I82.90', 0.3333333333333333)","('I22', 0.3333333333333333)","('O03.2', 0.2)","('O88', 0.5)","('T85.818', 0.14285714285714285)","('T81.7', 0.2)","('T84.81', 0.125)","('K55.0', 0.25)","('T80.0', 0.14285714285714285)","('I63.4', 0.2)","('O04.7', 0.2)","('T79.0', 0.3333333333333333)","('O07.2', 0.16666666666666666)","('Z86.711', 0.25)","('T82.818', 0.14285714285714285)","('I65', 0.3333333333333333)",I22,"('Z85.11', 0.3333333333333333)","('D38.1', 0.3333333333333333)","('D14.3', 0.5)","('I26', 0.5)","('I66', 0.3333333333333333)","('I24.0', 0.125)","('Z80.1', 0.2857142857142857)","('C34', 0.5)","('I76', 0.3333333333333333)","('O08.2', 0.2)","('I27.82', 0.3333333333333333)","('C78.0', 0.5)","('G08', 0.14285714285714285)",I21,"('T83.81', 0.14285714285714285)","('I21', 0.3333333333333333)","('I75', 0.5)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27974938,"('I24', 0.4)","('J21.1', 0.4)","('I60.7', 0.3333333333333333)",I63.9,"('F06', 0.3333333333333333)","('C71.6', 0.3333333333333333)","('J06.9', 0.5)","('N17-N19', 0.3333333333333333)","('I67.2', 0.5)","('N71.0', 0.5)","('I01.9', 0.4)",I63,G46.3,"('I65', 0.2857142857142857)","('D89.810', 0.6666666666666666)","('S06.37', 0.25)","('I61.4', 0.25)","('D43.1', 0.25)","('I68.2', 0.4)","('D33.1', 0.3333333333333333)","('G37.3', 0.25)","('G45.9', 0.6666666666666666)","('I26', 0.4)",I77.74,"('I66', 0.6666666666666666)","('K71.2', 0.4)","('D57.01', 0.4)","('N00', 0.6666666666666666)","('N28.9', 0.5)","('G46.2', 0.5)","('B57.1', 0.5)","('I63.3', 0.4)","('J44.1', 0.3333333333333333)","('C92.A', 0.2)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27928148,R78.81,G37.3,A02.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27906105,C25,R17,"('C43', 0.3333333333333333)","('Z85.820', 0.2)","('C43-C44', 0.4)",C25.9,R10.9,C69.9,"('D03', 0.5)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27904130,"('T85.71', 0.14285714285714285)","('K65.1', 0.5)","('S31.6', 0.14285714285714285)","('Z99.2', 0.3333333333333333)","('Z49.32', 0.25)","('C48.1', 0.6666666666666666)","('R18', 0.3333333333333333)","('C45.1', 0.5)",C22.9,"('Q43.3', 0.25)","('K56.5', 0.16666666666666666)",C22.0,"('K35.3', 0.25)","('N99.4', 0.25)","('K66.0', 0.25)","('R85', 0.25)","('N73.6', 0.2)","('R88.0', 0.2)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27846860,K85.9,"('I24', 0.4)","('D89.810', 0.6666666666666666)","('J21.1', 0.4)",H35.9,N17.1,"('G37.3', 0.25)",N17.0,"('K71.2', 0.4)","('J06.9', 0.5)","('N17-N19', 0.3333333333333333)",H54.0,"('D57.01', 0.4)","('N00', 0.6666666666666666)","('N28.9', 0.5)",K85,"('N71.0', 0.5)","('I01.9', 0.4)","('B57.1', 0.5)","('J44.1', 0.3333333333333333)","('C92.A', 0.2)",H53.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27773410,"('I25.72', 0.2857142857142857)",I50.1,"('I24', 0.4)","('D89.810', 0.6666666666666666)","('J21.1', 0.4)",I50.81,"('G37.3', 0.25)","('I26', 0.4)","('S65.1', 0.3333333333333333)","('J06.9', 0.5)","('N17-N19', 0.3333333333333333)","('K71.2', 0.4)",I50,I50.9,"('D57.01', 0.4)","('N71.0', 0.5)","('S55.1', 0.4)","('N00', 0.6666666666666666)","('N28.9', 0.5)","('S25.8', 0.5)","('I01.9', 0.4)","('B57.1', 0.5)","('J44.1', 0.3333333333333333)","('C92.A', 0.2)","('I82.62', 0.4)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27661040,T56.0X,T56.0,T56.0X1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27100441,"('I22', 0.5)",I47.2,"('I21', 0.5)",I42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27059701,"('D37.6', 0.42857142857142855)","('K80.5', 0.2857142857142857)","('C78.7', 0.42857142857142855)","('C22', 0.5)","('C24.0', 0.8)","('D06', 0.3333333333333333)",C23,"('D13.5', 0.8)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26714786,"('Q67.4', 0.5)",I78.0,"('K12.0', 0.25)","('Q30.3', 0.5)","('J34.2', 0.6666666666666666)","('K13.21', 0.3333333333333333)","('O70.3', 0.1)","('C00.3', 0.2)","('K62.3', 0.3333333333333333)","('Q79.4', 0.25)","('T81.31', 0.25)","('C03', 0.2)","('I86.8', 0.5)",R04.0,"('D00.02', 0.25)","('D10.0', 0.1111111111111111)","('C11.3', 0.3333333333333333)","('C06.0', 0.25)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26692730,Q77.4,H53.11,H53.15,Q13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26675562,"('M27.63', 0.3333333333333333)","('A52.03', 0.4)","('I35.1', 0.75)","('I08.2', 0.4)","('Q23.1', 0.75)","('I06', 0.75)",I71.9,"('I39', 0.42857142857142855)","('T86.821', 0.4)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26670309,R53.83,"('I35.0', 0.5)","('I37.0', 0.75)","('Q24.3', 0.6666666666666666)","('T82.855', 0.5)","('I65.0', 0.5)","('I63', 0.2857142857142857)","('I05.0', 0.6666666666666666)","('T80.21', 0.3333333333333333)","('I26', 0.4)","('J43.0', 0.4)","('Q25.6', 1.0)","('I28.8', 0.6666666666666666)","('Q21.3', 0.18181818181818182)","('Q22.1', 0.75)","('A52.03', 0.75)","('I66.8', 0.5)",E66.9,"('I34.2', 0.75)","('I36.0', 0.5)","('Q27.1', 0.5)",I27.20,"('I09.89', 0.5)","('I07.0', 0.5)","('Q23.2', 0.6666666666666666)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26664317,"('I05.1', 0.6666666666666666)","('I34.0', 0.75)",S26,"('A52.03', 0.5)","('I08.0', 0.4)","('Q23.3', 0.6666666666666666)","('I35.1', 0.5)","('I37.1', 0.5)","('Q22.2', 0.5)","('I07.1', 0.5)","('I36.1', 0.5)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26656340,M27.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26629302,R04.0,"('C31.0', 0.5)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26584481,I50.1,"('I24', 0.4)","('D89.810', 0.6666666666666666)",C74,"('J21.1', 0.4)",I50.81,"('G37.3', 0.25)",Q85.8,"('K71.2', 0.4)","('J06.9', 0.5)","('N17-N19', 0.3333333333333333)",I50.9,I50,"('D57.01', 0.4)",C74.9,"('N00', 0.6666666666666666)","('N28.9', 0.5)","('N71.0', 0.5)","('I01.9', 0.4)","('B57.1', 0.5)","('J44.1', 0.3333333333333333)","('C92.A', 0.2)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26530965,"('Z85.11', 0.3333333333333333)","('D43.4', 0.4)","('D38.1', 0.3333333333333333)",C50,C50-C50,C71.9,"('D42.1', 0.4)","('C70.1', 0.5)",C71,"('D14.3', 0.5)","('Z80.1', 0.2857142857142857)",C22.9,"('C34', 0.5)","('C72.0', 0.5)","('D32.1', 0.5)","('D05.1', 0.4)",C22.0,"('C7B.04', 0.25)","('D33.4', 0.5)","('C78.0', 0.5)",D33.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26523273,C22.0,C22.9,B18.1,C22.2,C22.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26474553,E84,E84.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26469535,"('D31.3', 0.3333333333333333)","('Q14.3', 0.3333333333333333)","('H31', 0.3333333333333333)","('C69.3', 0.3333333333333333)","('D49.81', 0.2)","('H35.3231', 0.25)","('H44.2A', 0.5)","('H30-H36', 0.25)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26445413,"('Z85.52', 0.4)","('C79.0', 0.3333333333333333)",C22.0,"('D30.0', 0.6666666666666666)","('Z80.51', 0.4)","('D41.0', 0.5)","('D49.51', 0.5)",D3A.00,"('C64', 0.3333333333333333)","('D17.71', 0.5)",C22.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26444414,L98.0,"('I73', 0.5)","('J84.17', 0.3333333333333333)","('G46', 0.4)",C26.0,"('F01.51', 0.25)","('K28', 0.25)","('I70', 0.6666666666666666)","('M35.9', 0.5)","('M30-M36', 0.5)",D64.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26327988,L88,K51.9,L98.2,L08.0,K51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26228535,"('C75.1', 0.5)","('D44.3', 0.4)","('D35.2', 0.5)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26216058,D33.2,C71.9,C71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26106249,"('I05.1', 0.6666666666666666)","('I34.0', 0.75)","('Q23.3', 0.6666666666666666)","('I35.1', 0.5)","('I37.1', 0.5)","('Q22.2', 0.5)",Q77.6,"('M21.94', 0.5)","('I07.1', 0.5)","('Q68.1', 0.5)","('I36.1', 0.5)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25934795,"('P78.0', 0.6666666666666666)","('T85.59', 0.14285714285714285)",M35.2,I82.0,"('K52.3', 0.3333333333333333)","('M66.8', 0.6666666666666666)","('O71.0', 0.4)","('H66.01', 0.25)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25926582,"('I06.0', 0.25)","('N28.0', 0.3333333333333333)","('K44.0', 0.25)","('K82.0', 0.5)","('Q42', 0.16666666666666666)","('H04.53', 0.25)","('Q51.11', 0.2)","('N13.9', 0.25)","('K31.5', 0.5)","('I05.0', 0.25)","('Q03.0', 0.25)","('K56.3', 0.3333333333333333)","('K50.912', 0.16666666666666666)","('T82.19', 0.25)","('T18.120', 0.2)","('E84.19', 0.25)","('I74.09', 0.5)","('J44', 0.25)","('K42.0', 0.2)","('K43.5', 0.2)","('Q41', 0.14285714285714285)","('K91.3', 0.3333333333333333)","('T81.52', 0.125)","('J05.11', 0.3333333333333333)","('I81', 0.3333333333333333)","('I65', 0.2)","('K45.0', 0.16666666666666666)","('N11.1', 0.2)","('K40.30', 0.25)","('T85.29', 0.25)","('J95.03', 0.3333333333333333)","('J04.11', 0.3333333333333333)","('I66', 0.2)","('Q62.39', 0.25)","('D35.2', 0.5)","('C75.1', 0.5)","('N46.023', 0.2)","('T84.29', 0.16666666666666666)","('K80.81', 0.3333333333333333)","('K83.1', 0.3333333333333333)","('T83.09', 0.25)","('D44.3', 0.4)","('K46.0', 0.2)","('K22.2', 0.5)",R04.0,"('H68', 0.3333333333333333)","('P76', 0.25)","('K51.412', 0.2)","('Q64.31', 0.25)","('N32.0', 0.5)","('K41.30', 0.25)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25884600,I48.0,I50.9,I50.1,I50,A27.9,I51.4,I48.1,R57.0,A27,I50.81,R50.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25858931,R07.9,R06.00,I42,I51.81,R06.02,R06.0,"('I24.0', 0.3333333333333333)","('I25.81', 0.3333333333333333)","('Q24.5', 0.6666666666666666)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25853982,R13.1,"('Z85.11', 0.3333333333333333)","('C00-C75', 0.125)","('C7A.1', 0.4)",C15,"('D38.1', 0.3333333333333333)","('D10-D36', 0.3333333333333333)",R13.12,"('C78.0', 0.5)","('D14.3', 0.5)",K22.0,C15.9,"('Z80.1', 0.2857142857142857)",R13.10,"('C34', 0.5)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25661749,H40.9,"('C75.1', 0.5)",H53.11,H40,"('D35.2', 0.5)",H40.12,"('D44.3', 0.4)",H53.15,H40-H42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25246819,"('Q27.3', 0.6666666666666666)",C50,C50-C50,"('D34', 0.5)","('Q28.2', 0.5)","('C73', 0.5)","('Q25.72', 0.5)","('Q89.2', 0.4)","('Z85.850', 0.4)","('C73-C75', 0.3333333333333333)",E71.440,"('I60.8', 0.5)","('D44.0', 0.4)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25210224,"('S03.0', 0.5)","('K08.20', 0.3333333333333333)","('C41.1', 0.3333333333333333)","('D16.5', 0.5)",Q87.0,"('M26.53', 0.25)","('S02.19', 0.6666666666666666)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25024632,"('S27.80', 0.5)","('O71.7', 0.3333333333333333)","('K76.3', 0.5)","('H61.12', 0.5)","('H59.34', 0.16666666666666666)","('E89.82', 0.14285714285714285)","('C78.7', 0.14285714285714285)","('Z94.4', 0.3333333333333333)","('D01.5', 0.16666666666666666)","('C22.3', 0.5)","('P78.81', 0.3333333333333333)","('Z85.05', 0.2)","('Z48.23', 0.2)",K70-K77,"('K70', 0.3333333333333333)",O14.2,"('S00.93', 0.5)","('I97.63', 0.125)","('Z52.6', 0.5)","('E83.110', 0.3333333333333333)","('T87.89', 0.3333333333333333)","('B67.8', 0.3333333333333333)","('E36.0', 0.1111111111111111)","('E74.09', 0.3333333333333333)","('K72', 0.25)","('P54.5', 0.3333333333333333)","('I85.1', 0.2)","('Q79.1', 0.5)","('H95.52', 0.14285714285714285)","('A06.4', 0.3333333333333333)","('Q44.7', 0.5)","('S36.11', 0.5)","('Z30.49', 0.3333333333333333)","('S06.36', 0.2)","('D13.4', 0.3333333333333333)","('O26.61', 0.2)","('T86.4', 0.3333333333333333)","('P15.0', 0.3333333333333333)","('D78.31', 0.2)","('G97.62', 0.125)","('N83.7', 0.3333333333333333)","('P10.0', 0.16666666666666666)","('K64.5', 0.5)","('B66.1', 0.25)","('K71', 0.3333333333333333)","('D21.3', 0.3333333333333333)","('K74', 0.3333333333333333)","('D68.4', 0.16666666666666666)","('K70-K77', 0.3333333333333333)",K76.9,"('A52.74', 0.3333333333333333)","('J98.6', 0.5)","('T45.8', 0.125)","('R93.2', 0.14285714285714285)","('J95.861', 0.125)","('O14.2', 0.1)","('K75.0', 0.5)","('K66.0', 1.0)","('K91.871', 0.125)",R10.9,"('R94.5', 0.2)","('D37.6', 0.14285714285714285)","('N99.840', 0.125)","('O69.5', 0.2)","('M79.81', 0.5)","('C7B.02', 0.25)","('O90.2', 0.3333333333333333)","('L76.32', 0.2857142857142857)","('M96.841', 0.16666666666666666)","('C49.3', 0.3333333333333333)","('K77', 0.2)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24518095,"('C78.0', 0.5)","('D14.3', 0.5)","('Z85.11', 0.3333333333333333)","('D06', 0.3333333333333333)","('Z80.1', 0.2857142857142857)","('D38.1', 0.3333333333333333)","('C34', 0.5)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24161539,"('T48.1X6', 0.2857142857142857)",G40.9,G40.909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23864579,I50,I50.9,I50.1,"('I05.1', 0.6666666666666666)","('I34.0', 0.75)","('I37.1', 0.5)","('I35.1', 0.75)","('I06.1', 0.6666666666666666)","('Q22.2', 0.5)",Q25.1,I50.81,"('I07.1', 0.5)","('Q23.1', 0.75)","('I36.1', 0.5)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23468586,I42,"('Z86.74', 0.42857142857142855)",I42.9,"('I51.5', 0.25)",G72.9,"('I22', 0.5)",M60-M63,E72.20,M62.9,"('Q24.8', 0.3333333333333333)",I51.5,"('I21', 0.25)",I49.9,"('Z82.41', 0.6)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23124805,H20.9,"('A18.09', 0.5)",M13.0,M06.4,"('M70.03', 0.2)","('M67.3', 0.5)","('A54.49', 0.5)",G52.9,M05-M14,M19.90,"('M12.2', 0.3333333333333333)","('M65', 0.5)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23076693,"('G13.1', 0.3333333333333333)","('L10.81', 0.5)",L98.2,"('D06', 0.3333333333333333)",R10.9,C23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
